year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
2008,1,7.3,13.7,-3.8,10.1,4.5,220.7,-7.4,11.4,61,46.2
2008,2,6.8,15.5,-3.6,10.2,3.4,62.1,-8.1,10.0,49,75.6
2008,3,6.9,13.5,-1.5,10.4,3.3,102.7,-6.6,12.5,58,115.8
2008,4,8.7,17.1,0.3,12.4,4.9,49.6,-3.1,9.2,38,193.4
2008,5,14.0,24.3,4.9,18.5,9.6,35.8,1.5,8.0,39,193.7
2008,6,14.2,23.0,6.4,17.9,10.4,105.8,3.3,9.1,48,175.5
2008,7,15.7,25.2,7.9,19.1,12.2,94.4,4.8,8.9,38,122.9
2008,8,15.8,22.1,8.4,18.4,13.1,187.8,5.1,9.6,38,87.9
2008,9,13.1,19.6,4.0,16.9,9.3,86.5,-0.4,8.2,39,118.8
2008,10,10.1,17.8,-0.1,13.5,6.7,156.6,-4.6,9.4,42,118.9
2008,11,8.0,13.1,-2.9,10.4,5.6,92.0,-7.7,9.2,45,53.4
2008,12,5.7,12.9,-3.0,8.6,2.9,75.3,-9.0,8.2,45,48.3
2009,1,5.3,13.0,-3.7,8.1,2.6,120.4,-9.2,9.3,64,64.9
2009,2,5.9,12.1,-2.5,9.0,2.8,15.7,-8.3,6.3,33,61.4
2009,3,8.3,16.1,-0.1,11.8,4.7,64.0,-5.4,10.2,50,116.8
2009,4,9.9,17.2,1.1,13.6,6.2,86.5,-3.9,9.0,52,146.8
2009,5,11.8,24.2,4.6,15.4,8.1,103.2,-0.4,10.6,42,204.4
2009,6,15.9,26.9,5.2,20.3,11.5,58.5,2.7,8.0,39,245.3
2009,7,15.9,22.1,9.6,19.2,12.5,115.3,5.4,9.8,39,165.7
2009,8,15.6,21.6,9.6,18.5,12.7,120.9,4.7,10.2,38,113.0
2009,9,13.8,21.9,5.5,17.4,10.3,58.3,2.4,7.6,31,133.1
2009,10,12.4,17.6,2.0,15.4,9.5,87.0,-1.3,8.7,46,89.0
2009,11,8.3,14.7,0.0,10.9,5.8,263.2,-2.6,11.8,51,67.5
2009,12,3.5,12.4,-5.6,6.6,0.5,72.7,-7.5,8.2,47,55.1
2010,1,2.4,11.5,-11.2,5.8,-0.9,30.8,-13.5,7.0,41,86.6
2010,2,3.3,10.2,-4.8,7.0,-0.4,35.1,-10.9,6.5,33,85.0
2010,3,6.4,14.7,-4.6,10.5,2.2,80.4,-11.7,7.9,41,156.1
2010,4,9.8,19.2,0.3,14.5,5.0,71.4,-5.7,7.8,42,230.8
2010,5,11.7,25.2,0.8,16.2,7.2,56.8,-4.1,7.6,27,196.9
2010,6,15.8,22.9,7.0,20.2,11.4,33.4,1.8,7.7,31,214.7
2010,7,16.0,21.9,10.6,19.0,13.1,123.1,7.4,9.1,37,99.5
2010,8,15.0,23.4,4.4,18.7,11.3,39.1,2.7,8.1,33,191.4
2010,9,14.5,22.0,5.7,17.8,11.2,138.9,4.0,9.0,38,119.9
2010,10,10.8,19.6,0.3,14.5,7.1,76.8,-5.4,7.9,39,115.7
2010,11,5.7,15.6,-6.6,8.8,2.6,133.3,-9.9,9.1,55,75.9
2010,12,0.7,12.9,-11.4,4.0,-2.7,26.0,-15.0,5.1,34,55.0
2011,1,3.6,12.6,-5.3,6.6,0.6,74.1,-11.6,6.0,35,58.2
2011,2,7.4,15.0,-1.1,10.7,4.1,149.0,-6.9,9.1,52,76.3
2011,3,7.0,17.4,-2.8,11.7,2.3,34.3,-8.6,6.4,53,161.9
2011,4,12.0,22.7,2.9,16.4,7.6,42.2,-2.1,7.4,37,181.7
2011,5,11.8,18.1,6.7,14.7,9.0,93.3,2.5,13.1,51,153.5
2011,6,12.8,23.9,5.6,16.4,9.1,112.5,-0.3,8.9,32,190.8
2011,7,14.7,21.7,7.3,18.1,11.4,31.7,3.0,7.6,38,104.6
2011,8,14.1,20.2,5.9,17.6,10.7,54.1,0.2,7.4,29,127.5
2011,9,14.2,21.4,7.8,16.9,11.5,94.7,3.7,12.2,55,73.5
2011,10,12.2,17.9,4.6,14.8,9.7,99.1,-1.0,10.4,44,54.9
2011,11,10.4,16.1,1.3,13.3,7.5,87.2,-2.7,10.7,45,78.7
2011,12,7.1,13.3,-0.3,9.5,4.7,144.7,-5.8,11.7,60,25.5
2012,1,8.0,13.1,-0.5,10.2,5.9,111.8,-6.2,11.5,56,29.9
2012,2,8.0,13.5,-1.7,10.5,5.6,38.6,-5.6,8.2,40,43.2
2012,3,9.5,19.6,-0.1,13.1,5.8,28.3,-4.0,8.0,44,114.5
2012,4,7.8,14.9,-1.7,11.9,3.7,78.2,-7.2,9.8,45,185.8
2012,5,12.0,27.8,1.8,16.1,7.8,38.8,-1.8,8.5,36,180.5
2012,6,13.6,21.4,6.6,16.8,10.4,166.9,3.3,8.7,40,100.3
2012,7,14.9,22.2,8.8,18.1,11.6,112.8,6.2,8.1,35,113.3
2012,8,16.3,26.5,8.8,19.5,13.2,89.1,7.5,9.5,43,163.6
2012,9,13.1,21.1,4.7,16.4,9.8,61.9,2.6,8.6,35,119.9
2012,10,9.5,15.9,-1.9,12.7,6.3,85.6,-3.6,8.0,49,93.9
2012,11,6.9,14.0,-1.5,9.8,4.0,121.0,-3.6,8.3,45,72.3
2012,12,6.7,13.9,-1.6,9.3,4.1,113.7,-2.6,9.8,57,44.4
2013,1,6.3,13.8,-2.6,8.9,3.7,107.0,-2.6,9.8,55,35.5
2013,2,5.6,12.0,-4.0,8.5,2.8,49.6,-7.6,9.6,50,70.4
2013,3,4.7,14.2,-5.2,7.9,1.4,30.2,-8.8,10.1,48,102.1
2013,4,8.2,15.9,-2.9,11.9,4.5,63.1,-6.6,11.6,53,188.7
2013,5,10.8,20.1,4.4,14.2,7.4,68.0,1.6,10.7,43,179.0
